epoca,train_loss,lr,roc_auc,pr_auc,log_loss,brier
1,0.40869699357978606,0.000208,0.5402967113889039,0.1472087890453948,0.38905376710066897,0.11218663152887488
2,0.39147616423950454,0.000408,0.5503996264166532,0.15514433498897437,0.3784123168931757,0.11030313880556035
3,0.38695810005368075,0.000608,0.6243763133789536,0.17869951756967162,0.3726124246409084,0.1090767940344903
4,0.3733462717513127,0.000808,0.7027210517808072,0.2528251229771128,0.3538656312017584,0.10453692064289209
5,0.317183089241204,0.001,0.9338254575497962,0.6391803157169038,0.20249847811437485,0.06156269688837442
6,0.18284870872679682,0.0009987820251299122,0.9516748388023781,0.6849340918207064,0.16269183419505787,0.049132615961498635
7,0.15288620586497448,0.0009951340343707852,0.9592722309032455,0.6893866918685152,0.15554599618123027,0.04704936062508247
8,0.14525446572410106,0.0009890738003669028,0.9643874490364065,0.7120479959440024,0.153385431928196,0.048009352197921726
9,0.14340429901888188,0.0009806308479691594,0.9660757583921548,0.7257144062559528,0.14609573666090442,0.04517636815657061
10,0.13476590696847762,0.0009698463103929542,0.9660434290640659,0.7252857514037088,0.14506001882801092,0.04478572246765924
11,0.130796766617659,0.0009567727288213005,0.9675988289598937,0.7342147761903459,0.14600750677293,0.0438291030164392
12,0.124230167528468,0.0009414737964294635,0.9698726583688058,0.7431658094691771,0.14299211409801663,0.04353189573899655
13,0.12282205934523027,0.0009240240480782129,0.9706090486197173,0.7485205801155608,0.1420746552335949,0.043690606903102655
14,0.12312581156008269,0.0009045084971874737,0.9705731271440631,0.7474995944532193,0.14537215513022567,0.04339669648555459
15,0.11707777213573305,0.000883022221559489,0.9707383659320725,0.7570976995653104,0.15019514596146805,0.04405122449431126
16,0.11443084570170203,0.0008596699001693256,0.971356215313325,0.7584288440208536,0.14243539334002736,0.04373238632667236
17,0.11361981344839525,0.0008345653031794292,0.9716435871185589,0.7649135341824107,0.14770807881038664,0.045566452961897305
18,0.1162221348518513,0.0008078307376628291,0.9712017529680119,0.7637204371642864,0.152356347327077,0.04455003144131984
19,0.11086748134938106,0.0007795964517353734,0.9717800887260448,0.7704813909792624,0.14697965692890544,0.04444750252040632
20,0.11030564392016466,0.00075,0.9690177272482353,0.7673467467922347,0.1730864876147406,0.04722363884607708
21,0.10818325174245091,0.0007191855733945387,0.9720279469080589,0.7755804107823351,0.1532623780615731,0.04441272034615094
22,0.1081067574881082,0.0006873032967079561,0.9720746448264095,0.7775258241838868,0.1527528399065005,0.04547998588276604
23,0.10627073218046479,0.0006545084971874737,0.9720171704653627,0.7770068809119566,0.1543767700874261,0.04442024361476021
24,0.10651973497564989,0.0006209609477998338,0.9722003699911993,0.780903993798692,0.1542262542426954,0.04565735705433945
25,0.1039309277883082,0.0005868240888334653,0.971560967724554,0.7804553089709488,0.1507012641871943,0.04572833268708923
26,0.10092099123710548,0.0005522642316338268,0.9718519316773534,0.7817369501943712,0.15505691767643545,0.0456516900201911
27,0.10142231995256645,0.0005174497483512506,0.9718088259065683,0.7846287585811043,0.15820930195847593,0.04485090897220133
28,0.0987941265287664,0.0004825502516487497,0.9715034933635074,0.7828145205187729,0.16346709079176777,0.04632328946503085
29,0.09915190586113541,0.00044773576836617336,0.971176607935054,0.7826051055892345,0.1628915573892498,0.0458375475082202
30,0.09702692059386141,0.00041317591116653486,0.9714424268548951,0.7886146356659184,0.16218342543966607,0.04527284642336255
31,0.09837756589792696,0.0003790390522001662,0.9715394148391616,0.786865578643539,0.1595014174870279,0.04602881298670266
32,0.09815914860452143,0.00034549150281252633,0.9689782136250158,0.7860979632615119,0.17591269764977469,0.045463358924844086
33,0.09577327268058206,0.00031269670329204396,0.9695924708587028,0.7893565757128987,0.17195385042356343,0.04509962881844782
34,0.09363171319790549,0.00028081442660546124,0.9686980261149127,0.7871900567457281,0.17566973169493222,0.045670082560538734
35,0.09488156752016619,0.0002500000000000001,0.9696391687770533,0.7885932819987285,0.17121835639995187,0.04537055931770114
36,0.09634928616323785,0.00022040354826462666,0.9701277008459508,0.7897336041226581,0.17232530494505893,0.04579807580444453
37,0.0946555149794643,0.00019216926233717085,0.969448784956086,0.7883149920741338,0.1725635966909052,0.04558794834820528
38,0.09280836101189531,0.00016543469682057105,0.9705048763403201,0.7876527020378145,0.1704568447487893,0.04713920682186993
39,0.09451572561676926,0.00014033009983067452,0.9688093826894408,0.7853924348903601,0.17498213437509538,0.046291891238618044
40,0.0924086634911598,0.00011697777844051105,0.9699804227957685,0.7867074108667766,0.17060397179513467,0.04635046501289665
41,0.09234459297214527,9.549150281252633e-05,0.9688596727553568,0.7847491118788175,0.17468104386463273,0.04649795538481509
42,0.09249463172020574,7.597595192178702e-05,0.9688237512797027,0.7855327252484473,0.17447776772829648,0.04630959589993679
43,0.0903524664074074,5.852620357053651e-05,0.9685291951793379,0.7850460083182621,0.17484822732926614,0.04639416387743724
44,0.09376312517868121,4.322727117869951e-05,0.9686728810819548,0.7852030166844548,0.1744839097803936,0.04637503491545296
45,0.09088649592731604,3.0153689607045842e-05,0.9683891014242865,0.7853238103517987,0.1751467182665184,0.04626816204610503
46,0.09143162136253782,1.9369152030840554e-05,0.9681053217666182,0.784802694636427,0.17637309130861525,0.04638033881072988
